"Site" "Mean_Temp" "Elevation" "transect" "predicted_allT_rfact" "predicted_allT_norfact" "predicted.ind.t" "Connectance" "Weighted.connectance" "Generality" "Vulnerability" "H2" "Interaction.evenness" "Niche.overlap.l1" "Niche.overlap.l2" "Number.modules" "Weighted.number.modules" "Robustness.l1" "Robustness.l2" "link.per.species" "Alatalo.interaction.evenness" "Shannon.diversity.cp" "Number.interacting.species.l1" "Number.interacting.species.l2" "Number.species.l1" "Number.species.l2" "functional.complementarity.l1" "functional.complementarity.l2" "mean.number.of.shared.partners.l1" "mean.number.of.shared.partners.l2" "partner.diversity.l1" "partner.diversity.l2"
"13" "C4" NA 1407 "C" 16.384807001011 16.384807001011 16.1831271571756 0.464506172839506 0.0302094366519372 3.20059149977446 1.69333723783936 0.859109784134768 0.496332482430502 0.149589574356334 0.0681707288203311 8 0.0754716981132075 0.978741562786055 0.782522187634253 3.71604938271605 0.643932132496867 3.21320224030426 72 9 97 9 749.95666790887 780.299921125588 2.05320813771518 19.7777777777778 0.445804183000092 1.01609146535111
"14" "C5" NA 1623 "C" 15.0276506413504 15.0276506413504 14.930195305559 0.469135802469136 0.0562213727512972 4.57900426463635 2.84221693853488 0.693597733057662 0.582666604978289 0.161725611636067 0.145708370602897 6 0.0681818181818182 0.971552694567116 0.811084033915384 4.60606060606061 0.641588280691544 3.77211991304411 54 12 76 12 764.342167893247 756.765670585733 2.75122292103424 15.5151515151515 0.966367633414178 1.36457813857636
"15" "C6" 12.0423728813559 1987 "C" 12.7405908500707 12.7405908500706 12.8187731111679 0.643333333333333 0.0522542450278415 4.81298989887994 1.98006195473946 0.696562299932194 0.487916268710784 0.483458234661115 0.188189702198366 4 0.043956043956044 0.980365987355136 0.816682401952795 2.96923076923077 0.497381494571872 2.78296826257222 60 5 86 5 363.401545674364 317.670695387678 2.31920903954802 26.6 0.663298330181821 1.31598782005876
"16" "C7" NA 2163 "C" 11.6347597421991 11.6347597421991 11.7978656765173 0.570731707317073 0.0451299667116693 2.04168776690628 2.1102691705673 0.849384634485 0.42261443209244 0.354657173617727 0.279275013302791 4 0.0512820512820513 0.962595604412511 0.75296295955118 2.54347826086957 0.69317540983757 2.24958083935597 41 5 73 5 503.919375943585 420.866874717103 1.8390243902439 14.1 0.638642659252917 0.640142933382397
"17" "C8" 11.1909604519774 2346 "C" 10.4849467152645 10.4849467152645 10.7363539688976 0.62037037037037 0.122067427103698 7.64520339344628 1.87605592064214 0.471445679840546 0.667134838786416 0.4298801568158 0.330717067547632 3 0.0491803278688525 0.973317250633258 0.661875 1.71794871794872 0.724241373993486 3.12361286138436 36 3 58 3 190.739443643031 146.516229610338 1.19206349206349 13.6666666666667 0.581501881087409 2.02500081193865
"18" "F1" 17.8011299435028 840 "F" 19.9473424451199 19.9473424451199 18.0464676143851 0.58 0.115975872162113 8.13652569881701 2.30130279577317 0.51946069944364 0.692208131358444 0.322447320771669 0.23964772558503 4 0.0740740740740741 0.961651260115411 0.741867586103342 2.57777777777778 0.733827527994109 3.66753836364221 40 5 49 5 240.548598589237 208.512746870815 1.86282051282051 15.3 0.759921281640031 2.08674509577475
"19" "F2" NA 920 "F" 19.4446919415419 19.4446919415419 17.6907869636273 0.525714285714286 0.064581019088721 4.78015411856708 2.58208205754712 0.627227112306082 0.583988289128376 0.222940070390669 0.184337928062243 5 0.0595238095238095 0.975379628660614 0.75106634656559 3.2280701754386 0.597531898203822 3.42096436071518 50 7 77 7 501.920455897355 450.318325280445 1.96408163265306 18.7619047619048 0.880888503470115 1.47505446391842
"20" "F3" NA 1196 "F" 17.7105477041979 17.7105477041979 16.4636887185129 0.5325 0.0544140823364084 3.80571596558291 2.50631758544046 0.729329603278928 0.540536493580199 0.213992916027298 0.18430280907982 6 0.0666666666666667 0.973789465687943 0.797843944722374 3.67241379310345 0.631373149615902 3.23860523770382 50 8 82 8 649.759504773682 631.859699133863 2.4734693877551 17.3928571428571 0.76989524038893 1.15916395009589
"21" "F4" NA 1599 "F" 15.1784457924238 15.1784457924238 14.6719474403205 0.486567164179104 0.0463816439516383 4.67956581632922 2.46320735222308 0.680094991715671 0.562588584823279 0.180842505989071 0.111834363805551 7 0.0769230769230769 0.972544730028196 0.768910088002363 4.23376623376623 0.595338042671513 3.66092015926275 67 10 81 10 802.402154030206 760.427474622012 2.54771596562641 23.0888888888889 0.81320582644076 1.35845457559243
"22" "F5" NA 1712 "F" 14.4684519561199 14.4684519561199 14.1695485211251 0.520697167755991 0.0561534290749139 4.22671253922734 2.51169894976232 0.714997476765539 0.564351961046304 0.221112592251378 0.164798422940408 5 0.0561797752808989 0.96889411782111 0.817423825564663 3.98333333333333 0.6469078318228 3.45894150539893 51 9 80 9 703.672865018894 612.181581144946 2.68862745098039 17.0277777777778 0.808673917245092 1.26172485567856
"23" "F6" 14.1062146892655 1892 "F" 13.3374883230695 13.3374883230695 13.36926705692 0.494230769230769 0.0563351556222406 3.69266001617106 3.29289928098678 0.689540152978878 0.559547586464969 0.258813532965843 0.249254183287069 5 0.0555555555555556 0.970935136557161 0.806441677836343 4.14516129032258 0.630971735669695 3.49931481768214 52 10 80 10 731.743696337693 535.935955680732 2.57466063348416 17.1111111111111 1.07038639701026 1.19672984164511
"24" "F7" NA 2139 "F" 11.7855548932725 11.7855548932725 12.2711030477053 0.712962962962963 0.0764200485549958 3.16217230432673 1.57587070608301 0.779658793717279 0.489384897972973 0.475770586499317 0.163676625401211 4 0.0816326530612245 0.963896251557097 0.813333333333333 2.48387096774194 0.648722256340698 2.29136431288226 27 4 45 4 403.497556393438 377.212032436518 2.23076923076923 13.6666666666667 0.417984169148444 0.905069952134808
"25" "F8" 10.5435028248588 2417 "F" 10.038844393339 10.038844393339 11.035112786322 0.712962962962963 0.116286580476665 7.59240843770855 1.4779448394713 0.670916964610248 0.658956259235287 0.453317779921308 0.112427785606877 3 0.0545454545454545 0.969642385534626 0.695208333333333 1.97435897435897 0.637927592079529 3.0853196786745 36 3 52 3 194.270476165643 182.9191256368 1.67301587301587 17.6666666666667 0.361649479114847 1.98670739668429
"26" "G1" 19.6344632768362 672 "G" 21.0029085026337 21.0029085026337 19.8270570050261 0.465384615384615 0.0713813497232684 5.53525263174845 3.31603473393684 0.630496377948512 0.596858619985626 0.210500147495335 0.195177716645307 5 0.0632911392405063 0.965700310794518 0.776008883081758 3.90322580645161 0.558250186066286 3.73265163410329 52 10 69 10 664.598407161524 656.081019435717 2.28355957767722 15.4888888888889 1.07839454742292 1.43006772830944
"27" "G2" NA 973 "G" 19.1116859829215 19.1116859829215 18.6035912528352 0.566666666666667 0.0499090188521671 3.9504938064844 2.93695079511466 0.626459479118455 0.559995778824621 0.25696859643624 0.184695561575075 7 0.0777777777777778 0.977114229388892 0.830052364854841 4.43478260869565 0.659751455955355 3.52325216033591 60 9 81 9 689.161234404172 608.146175357545 3.13502824858757 23.25 0.969219703679549 1.32602761509394
"28" "G3" 18.4175141242938 1095 "G" 18.3451439649651 18.3451439649651 18.107701479522 0.454918032786885 0.0521231671329841 4.84137984575803 2.76860255565765 0.671072304964606 0.584586633623413 0.190078772114761 0.108618403967913 7 0.074468085106383 0.967813808399994 0.775068776447672 4.56164383561644 0.611417099292512 3.85580512677555 61 12 82 12 922.307458097465 847.707825766044 2.63060109289617 19 0.926231560668654 1.37104631480093
"29" "G4" NA 1359 "G" 16.6863973031578 16.6863973031578 17.0346285274343 0.512323943661972 0.0424487568556294 5.05108524552233 1.65581833766712 0.795171493390973 0.54839456880454 0.19737660283718 0.0671302597004004 5 0.05 0.980472843139403 0.776352285824483 3.68354430379747 0.563717473669536 3.47798494072562 71 8 92 8 679.133611269784 642.127962386809 2.14446680080483 24.0357142857143 0.426290803014077 1.39858705584233
"30" "G5" NA 1561 "G" 15.4172047816234 15.4172047816234 16.2135651322763 0.611111111111111 0.0702267550613861 3.89876183427057 3.26436718199082 0.652257272876393 0.557220495357656 0.265379392535746 0.249227627696129 5 0.0684931506849315 0.97370956961836 0.822312113835735 4.52941176470588 0.611284261130379 3.30704468357843 42 9 64 9 648.642891427393 583.917182322468 3.44715447154472 19.3888888888889 1.114149525312 1.11066780800912
"31" "G6" 15.1655367231638 1790 "G" 13.9783677151314 13.9783677151314 15.2827556397457 0.565677966101695 0.0482235348778533 4.11843612061312 2.34351755301922 0.698564963632478 0.546774666655114 0.274777196788438 0.181368770279988 7 0.0843373493975904 0.974635978383741 0.809038366492959 3.98507462686567 0.665829034157752 3.36648013244608 59 8 75 8 592.114366866513 571.95442513802 2.7895967270602 22.9285714285714 0.762327770214646 1.2987440225289
"32" "G7" NA 2042 "G" 12.3950186288608 12.3950186288608 14.2584587309347 0.639097744360902 0.0583500547815598 3.19682522301794 2.05467970732244 0.739929271995382 0.536160058807749 0.229365067169172 0.128778025262898 5 0.0943396226415094 0.974685329363411 0.839924167952854 3.77777777777778 0.683463788195701 2.99364770926925 38 7 46 7 610.864940774198 577.280039009507 2.9800853485064 17.3809523809524 0.640316879581402 1.0549469457441
"33" "G8" NA 2220 "G" 11.2766212583998 11.2766212583998 13.5349474223301 0.558139534883721 0.0814545370646738 6.09317730655789 1.88936732578014 0.670275867306912 0.614292388537819 0.294746280918657 0.128198951601516 5 0.0704225352112676 0.96786912165862 0.772527713878651 2.93877551020408 0.684787077171329 3.41114080687548 43 6 65 6 421.680728004498 393.803311788177 2.11738648947951 16.5333333333333 0.592348632993406 1.62197743881941
"34" "M1" NA 578 "M" 21.5935228443378 21.5935228443378 21.2942437456946 0.517156862745098 0.052334177395406 4.24280672974589 1.93262620291201 0.765077438919383 0.545267907786206 0.232587374953034 0.08706656743625 7 0.0823529411764706 0.961153930653271 0.799584582190506 3.57627118644068 0.629705455178299 3.27775107533126 51 8 77 8 612.604323143795 656.69756361646 2.52392156862745 15.4642857142857 0.566526650345643 1.19904826458181
"35" "M2" NA 845 "M" 19.9159267886463 19.9159267886463 19.7019267819804 0.545454545454545 0.085817850405595 5.63435573307758 4.66378631559382 0.47716594822706 0.643579740235994 0.203782800594325 0.287829843128736 7 0.0843373493975904 0.97081937881724 0.829052244214856 4.9 0.653735547484791 4.0479335132839 49 11 72 11 670.519048239458 547.45961964414 3.43962585034014 18.5818181818182 1.39879812357884 1.65004932165154
"36" "M3" 18.0610169491525 1023 "M" 18.7975294181853 18.7975294181853 18.6403821395042 0.482905982905983 0.0530030139372159 3.46022247753488 3.00614522280547 0.694706897252411 0.533621145058143 0.23846688334045 0.221891699194632 6 0.0714285714285714 0.963676282663258 0.790294048992564 3.70491803278689 0.686638107894091 3.28095269242127 52 9 75 9 660.886848803302 678.002380929707 2.35671191553545 16.4444444444444 0.930122839686701 1.08375917743832
"37" "M4" NA 1232 "M" 17.4843549775878 17.4843549775878 17.3939617446867 0.470355731225296 0.0766520466861016 3.22224012629259 5.516093195923 0.529641943871743 0.555394450237678 0.177538358114784 0.427100346730648 5 0.0657894736842105 0.96473115337625 0.782320758914477 4.17543859649123 0.687927512645347 3.45818391032365 46 11 65 11 631.434665066627 608.57454882938 2.49565217391304 14.9454545454545 1.49644932859568 1.08183916487399
"38" "M5" NA 1653 "M" 14.8391567025087 14.8391567025087 14.8832297532121 0.487394957983193 0.0456445335118811 3.31688240275586 1.97788348462234 0.775306449229911 0.501450977609119 0.265936497190424 0.158741076773568 5 0.0595238095238095 0.966854524659075 0.721817856017239 3 0.662442854133867 2.9473963539015 51 7 77 7 616.999344059787 583.485553162334 1.76549019607843 17.2380952380952 0.61617167648257 1.00148805866299
"39" "M6" 15.2898305084746 1856 "M" 13.5636810496796 13.5636810496796 13.6725917620736 0.448717948717949 0.0465703449560258 5.95146708463311 2.24491362762743 0.726410349915023 0.58247526526644 0.183421332784797 0.0919180681564777 9 0.079646017699115 0.973967235795149 0.791502427452686 3.97727272727273 0.623711361898502 3.87887399235492 78 10 103 10 677.692446757339 643.420826421717 2.31934731934732 21.5111111111111 0.703817491665498 1.57628989219703
"40" "M7" NA 2112 "M" 11.9551994382301 11.95519943823 12.1458758717708 0.535849056603774 0.0655086707761584 5.08332401792577 3.17076849987019 0.659442294249852 0.602619991330971 0.237256252406243 0.218583749254858 8 0.0952380952380952 0.973886413329894 0.828978540856042 4.50793650793651 0.5913281136562 3.7801610873051 53 10 74 10 690.776687223735 680.264813805166 3.09143686502177 18.6666666666667 0.988239173231228 1.47757698266558
"41" "M8" 9.86158192090396 2321 "M" 10.6420249976326 10.6420249976326 10.8994554769533 0.594155844155844 0.073497601495683 4.59320593569074 2.90354941686893 0.561241529196658 0.594936087140863 0.295804456471774 0.301836342379432 4 0.0540540540540541 0.972866718844509 0.770757277243747 3.58823529411765 0.808240724301003 3.40904314380901 44 7 67 7 358.406557290913 342.349784642195 2.61733615221987 19.6666666666667 0.925268728420444 1.46313302881003
"42" "S1" 22.4248587570621 605 "S" 21.4238782993802 21.4238782993802 23.5321945915518 0.657142857142857 0.0565301310318083 2.80744317197596 1.82802757263232 0.953942369573646 0.501794889922542 0.255651659996917 0.174031431517245 5 0.0833333333333333 0.974574583317372 0.797148834763043 3.36585365853659 0.743861516449631 2.68315123478037 35 6 54 6 503.347567079031 429.220988551152 2.6453781512605 17.6 0.488233207462328 0.89158528927056
"43" "S2" NA 793 "S" 20.242649615972 20.242649615972 22.00789686973 0.606666666666667 0.065384184173201 2.42156930692471 2.15532358519936 0.841686610330222 0.47806078044542 0.316679989443377 0.299846798552771 4 0.08 0.963549866244796 0.774593204871654 2.6 0.739621488907943 2.39538821922302 30 5 45 5 435.685621688067 377.455882035416 1.83908045977011 12.1 0.681411742053343 0.786412208351562
"44" "S3" 21.6954802259887 997 "S" 18.9608908318481 18.9608908318481 20.3538716822213 0.54485049833887 0.037863826170454 2.25242611439956 1.53395650264584 0.902622469881675 0.414520046305704 0.245690943545094 0.123798245976896 4 0.0579710144927536 0.969735902507149 0.789432106098839 3.28 0.732607064376367 2.36571161121546 43 7 62 7 523.003534417308 522.731495049728 2.14174972314507 15.047619047619 0.366455272286098 0.697622873278652
"45" "S4" NA 1323 "S" 16.9125900297679 16.9125900297679 17.7106745688495 0.428571428571429 0.0626500629754167 2.81182794533259 4.20497910791408 0.767226109709534 0.471059141185563 0.281474904152239 0.56302810158427 4 0.0533333333333333 0.961975672859289 0.727477019171812 2.625 0.677097884202082 2.7499162909148 49 7 68 7 576.711955399343 328.560864282836 1.41326530612245 12.4285714285714 1.25436015232974 0.804019324758237
"46" "S5" NA 1617 "S" 15.0653494291188 15.0653494291188 15.3269323868517 0.485714285714286 0.037765138058735 3.23050848295062 2.20767139750722 0.759581196216229 0.481732674670823 0.300865571850233 0.149652384343697 5 0.0561797752808989 0.974462720393443 0.734933131001973 3.06944444444444 0.654081082799216 2.94834724541218 65 7 82 7 558.595707467083 505.028736852748 1.75769230769231 19.4761904761905 0.67608362483844 1.03052877701008
"47" "S6" 13.145197740113 1914 "S" 13.1992594345856 13.1992594345855 12.9188663050375 0.562146892655367 0.0418926902929119 3.31975130260172 2.12629843547683 0.676778797698829 0.503971187845641 0.304240865123862 0.127077391886208 5 0.05 0.978631730169961 0.771351934888267 3.06153846153846 0.660170660290102 2.95795653713078 59 6 94 6 485.510971072973 478.229471886587 2.00116890707189 22.6 0.612490956724191 1.16619844662388
"48" "S7" NA 2206 "S" 11.3645850965259 11.3645850965259 10.5513400562505 0.5275 0.0554772955469654 3.63070771834913 2.80465856509885 0.607645622639167 0.55006702490382 0.272593588636131 0.213942407207146 5 0.0609756097560976 0.973354103929478 0.772377356824997 3.63793103448276 0.697781907010833 3.2957070782444 50 8 74 8 567.81142108372 543.822018593124 2.3265306122449 18 0.955651074688204 1.21627342041582
"49" "S8" 8.59887005649717 2390 "S" 10.2084889382966 10.2084889382966 9.05947420085049 0.6 0.0522533052196835 3.04137473787341 1.55691612145874 0.643990389376391 0.430768421893195 0.466282400112178 0.187663480915549 3 0.0384615384615385 0.971500263444612 0.747333333333333 2.18181818181818 0.685610310966518 2.18622461522194 40 4 74 4 303.603041350083 287.769421182372 1.52051282051282 15.5 0.391463833547818 1.08666847231517
